UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:52:04.718500,-108.115052,39.014491,3150,234.2,166.6,85,-108.052113,39.024629,4914.8,0.89,1.55,44.6
20200210-22:52:04.818500,-108.115144,39.014491,3150,233.2,168.2,85,-108.052117,39.024629,4914.8,0.89,1.56,44.6
20200210-22:52:04.918500,-108.115237,39.014491,3150,235.1,166.2,84.8,-108.05212,39.024629,4914.8,0.89,1.56,44.6
20200210-22:52:05.018500,-108.115329,39.014491,3150,237.1,166.2,85.2,-108.052124,39.024629,4914.8,0.91,1.56,44.7
20200210-22:52:05.118500,-108.115422,39.014491,3150,234.3,166.6,85.1,-108.052128,39.024629,4914.8,0.91,1.56,44.7
20200210-22:52:05.218520,-108.115422,39.014491,3150,233.1,167.9,85.2,-108.052132,39.02463,4914.8,0.9,1.56,44.7
20200210-22:52:05.318520,-108.115515,39.014491,3150,234.6,167.8,85.3,-108.052135,39.02463,4914.8,0.9,1.56,44.7
20200210-22:52:05.418500,-108.115607,39.014491,3150,235.1,167.3,85.5,-108.052139,39.02463,4914.8,0.89,1.57,44.7
20200210-22:52:05.518500,-108.1157,39.014491,3150,234.8,166.7,85,-108.052143,39.02463,4914.8,0.9,1.56,44.7
20200210-22:52:05.618520,-108.115792,39.014491,3150,234,166.7,85.2,-108.052147,39.02463,4914.8,0.9,1.56,44.7
20200210-22:52:05.718520,-108.115885,39.014491,3150,236.2,166.7,84.9,-108.052151,39.024631,4914.8,0.9,1.56,44.7
20200210-22:52:05.818520,-108.115885,39.014491,3150,234.7,166.5,84.7,-108.052154,39.024631,4914.8,0.91,1.57,44.7
20200210-22:52:05.918520,-108.115978,39.014584,3150,235.4,166.3,84.6,-108.052158,39.024631,4914.8,0.92,1.57,44.7
20200210-22:52:06.018520,-108.11607,39.014584,3150,234.6,166.1,84.6,-108.052162,39.024631,4914.8,0.91,1.57,44.7
20200210-22:52:06.118520,-108.116163,39.014584,3150,233.6,165.7,84.1,-108.052166,39.024631,4914.8,0.9,1.56,44.7
20200210-22:52:06.218520,-108.116255,39.014584,3150,234,166.2,84.3,-108.052169,39.024632,4914.8,0.89,1.56,44.7
20200210-22:52:06.318540,-108.116255,39.014584,3150,232.9,166.5,84.4,-108.052173,39.024632,4914.8,0.89,1.57,44.7
20200210-22:52:06.418540,-108.116348,39.014584,3150,233.5,165.7,84.2,-108.052177,39.024632,4914.8,0.89,1.57,44.7
20200210-22:52:06.518540,-108.116441,39.014584,3150,233.8,165.9,84.2,-108.052181,39.024632,4914.8,0.9,1.57,44.7
20200210-22:52:06.618540,-108.116533,39.014584,3150,236,165.9,83.8,-108.052184,39.024632,4914.8,0.89,1.56,44.7
20200210-22:52:06.718540,-108.116626,39.014584,3150,234.7,166.6,83.7,-108.052188,39.024633,4914.8,0.89,1.57,44.7
20200210-22:52:06.818540,-108.116718,39.014584,3151,233.3,165.7,83.6,-108.052192,39.024633,4914.8,0.89,1.57,44.7
20200210-22:52:06.918540,-108.116718,39.014584,3151,235.2,165,83.4,-108.052196,39.024633,4914.8,0.89,1.57,44.7
20200210-22:52:07.018560,-108.116811,39.014677,3151,233.7,167.1,83.7,-108.052199,39.024633,4914.7,0.9,1.57,44.7
20200210-22:52:07.118560,-108.116904,39.014677,3152,233.7,166.8,83.5,-108.052203,39.024633,4914.7,0.91,1.57,44.7
20200210-22:52:07.218560,-108.116996,39.014677,3152,233.3,166,83.5,-108.052207,39.024634,4914.7,0.91,1.57,44.7
20200210-22:52:07.318560,-108.117089,39.014677,3152,232.3,166.9,83.5,-108.052211,39.024634,4914.7,0.91,1.57,44.7
20200210-22:52:07.418560,-108.117089,39.014677,3152,233.6,166.1,83.5,-108.052214,39.024634,4914.7,0.9,1.57,44.7
20200210-22:52:07.518560,-108.117181,39.014677,3152,234.5,166.4,83.5,-108.052218,39.024634,4914.7,0.9,1.57,44.7
20200210-22:52:07.618560,-108.117274,39.014677,3152,233.3,166.5,83.6,-108.052222,39.024634,4914.7,0.9,1.57,44.7
20200210-22:52:07.718560,-108.117367,39.014677,3152,233.9,166.5,83.3,-108.052226,39.024635,4914.7,0.91,1.57,44.7
20200210-22:52:07.818560,-108.117459,39.014677,3152,232.7,166.8,83.6,-108.052229,39.024635,4914.7,0.91,1.58,44.7
20200210-22:52:07.918560,-108.117552,39.014677,3152,233.9,166.4,83.7,-108.052233,39.024635,4914.7,0.92,1.58,44.7
20200210-22:52:08.018580,-108.117552,39.014677,3152,234,167,83.7,-108.052237,39.024635,4914.7,0.92,1.57,44.7
20200210-22:52:08.118580,-108.117644,39.014677,3152,233.8,166.1,83.7,-108.052241,39.024635,4914.7,0.9,1.57,44.7
20200210-22:52:08.218580,-108.117737,39.014677,3152,234.6,166.2,83.6,-108.052244,39.024635,4914.7,0.9,1.57,44.7
20200210-22:52:08.318580,-108.11783,39.014677,3152,234.2,165.9,84.2,-108.052248,39.024636,4914.7,0.89,1.58,44.7
20200210-22:52:08.418580,-108.117922,39.014769,3152,234.3,166.2,84,-108.052252,39.024636,4914.7,0.9,1.58,44.7
20200210-22:52:08.518580,-108.117922,39.014769,3152,234.9,166.9,84.2,-108.052256,39.024636,4914.7,0.91,1.57,44.7
20200210-22:52:08.618580,-108.118015,39.014769,3152,235.4,166.8,84.6,-108.05226,39.024636,4914.7,0.91,1.58,44.7
20200210-22:52:08.718600,-108.118107,39.014769,3152,234.8,165.5,85,-108.052263,39.024636,4914.7,0.92,1.58,44.7
20200210-22:52:08.818600,-108.1182,39.014769,3151,234.1,166.8,85.3,-108.052267,39.024637,4914.7,0.91,1.58,44.7
20200210-22:52:08.918600,-108.118293,39.014769,3151,235.5,166.7,85.4,-108.052271,39.024637,4914.7,0.9,1.58,44.7
20200210-22:52:09.018600,-108.118385,39.014769,3151,235.9,167,85.6,-108.052275,39.024637,4914.7,0.9,1.58,44.7
20200210-22:52:09.118600,-108.118478,39.014769,3150,235.5,167.9,86,-108.052278,39.024637,4914.7,0.9,1.57,44.7
20200210-22:52:09.218600,-108.118478,39.014769,3150,232.9,165.9,86.3,-108.052282,39.024637,4914.7,0.92,1.58,44.7
20200210-22:52:09.318600,-108.11857,39.014769,3150,233.1,167.5,86.5,-108.052286,39.024638,4914.7,0.92,1.58,44.7
20200210-22:52:09.418600,-108.118663,39.014769,3150,234,167.2,87,-108.05229,39.024638,4914.7,0.92,1.58,44.7
20200210-22:52:09.518600,-108.118755,39.014769,3150,233.5,167,87.8,-108.052293,39.024638,4914.7,0.9,1.58,44.7
